Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Flag,Expiry,Ticker
AAPL180413C00135000,2018-03-16 3:25PM EDT,135,43.85,31.5,35.5,0,-,9,12,78.96%,c,4/13/18,AAPL
AAPL180413P00135000,2018-03-27 11:58AM EDT,135,0.01,0.05,0.15,0,-,3,16,54.79%,p,4/13/18,AAPL
AAPL180413C00140000,2018-03-28 9:24AM EDT,140,33.12,26.6,30.55,0,-,4,4,70.07%,c,4/13/18,AAPL
AAPL180413P00140000,2018-03-29 1:41PM EDT,140,0.09,0.06,0.12,-0.11,-55.00%,40,143,48.05%,p,4/13/18,AAPL
AAPL180413P00145000,2018-03-29 3:34PM EDT,145,0.11,0.15,0.21,-0.19,-63.33%,28,107,44.14%,p,4/13/18,AAPL
AAPL180413P00146000,2018-03-23 3:24PM EDT,146,0.41,0.16,0.26,0,-,151,226,44.24%,p,4/13/18,AAPL
AAPL180413C00147000,2018-03-28 10:12AM EDT,147,20.8,20.65,22.5,0,-,10,12,55.23%,c,4/13/18,AAPL
AAPL180413P00147000,2018-03-29 2:54PM EDT,147,0.14,0.19,0.27,-0.11,-44.00%,30,10,42.77%,p,4/13/18,AAPL
AAPL180413P00148000,2018-03-29 3:31PM EDT,148,0.18,0.22,0.29,-0.1,-35.71%,1,67,41.65%,p,4/13/18,AAPL
AAPL180413P00149000,2018-03-29 3:59PM EDT,149,0.28,0.25,0.32,-0.3,-51.72%,3,431,40.67%,p,4/13/18,AAPL
AAPL180413P00150000,2018-03-29 2:20PM EDT,150,0.19,0.29,0.36,-0.41,-68.33%,13,175,39.89%,p,4/13/18,AAPL
AAPL180413C00150000,2018-03-29 9:51AM EDT,150,18.05,17.7,19.45,1.55,9.39%,2,72,61.94%,c,4/13/18,AAPL
AAPL180413P00152500,2018-03-29 3:34PM EDT,152.5,0.31,0.41,0.48,-0.52,-62.65%,101,145,37.84%,p,4/13/18,AAPL
AAPL180413P00155000,2018-03-29 3:45PM EDT,155,0.41,0.56,0.66,-0.61,-59.80%,107,590,36.04%,p,4/13/18,AAPL
AAPL180413C00155000,2018-03-21 2:51PM EDT,155,17.15,11.45,12.2,0,-,1,22,0.00%,c,4/13/18,AAPL
AAPL180413C00157500,2018-03-19 12:31PM EDT,157.5,18.3,9.45,10.15,0,-,10,14,0.00%,c,4/13/18,AAPL
AAPL180413P00157500,2018-03-29 3:50PM EDT,157.5,0.56,0.79,0.91,-0.74,-56.92%,201,823,34.23%,p,4/13/18,AAPL
AAPL180413C00160000,2018-03-29 2:58PM EDT,160,12.2,9.2,9.5,2.78,29.51%,33,384,37.31%,c,4/13/18,AAPL
AAPL180413P00160000,2018-03-29 3:59PM EDT,160,1.12,1.13,1.25,-0.78,-41.05%,519,671,32.35%,p,4/13/18,AAPL
