Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Flag,Expiry,Ticker
AMAT180413P00048000,2018-03-29 11:50PM EDT,48,0.16,0.14,0.21,0,-,2,0,54.00%,p,4/13/18,AMAT
AMAT180413P00049000,2018-03-29 11:50PM EDT,49,0.18,0.14,0.24,0,-,4,0,52.15%,p,4/13/18,AMAT
AMAT180413P00050000,2018-03-29 9:58AM EDT,50,0.54,0.27,0.3,-0.06,-10.00%,43,35,48.83%,p,4/13/18,AMAT
AMAT180413C00050000,2018-03-28 2:38PM EDT,50,5.15,4.5,7.7,0,-,56,97,57.32%,c,4/13/18,AMAT
AMAT180413P00051000,2018-03-29 11:50PM EDT,51,0.41,0.38,0.41,0,-,2,0,46.92%,p,4/13/18,AMAT
AMAT180413C00052000,2018-03-29 1:46PM EDT,52,4.3,4.15,4.25,0.95,28.36%,7,19,47.71%,c,4/13/18,AMAT
AMAT180413P00052000,2018-03-29 3:06PM EDT,52,0.39,0.53,0.56,-0.65,-62.50%,48,702,45.07%,p,4/13/18,AMAT
AMAT180413P00053000,2018-03-29 3:15PM EDT,53,0.57,0.73,0.77,-0.96,-62.75%,67,198,43.51%,p,4/13/18,AMAT
AMAT180413C00053000,2018-03-29 1:46PM EDT,53,3.5,3.35,3.45,0.23,7.03%,35,78,45.56%,c,4/13/18,AMAT
AMAT180413P00054000,2018-03-29 2:25PM EDT,54,0.92,1,1.05,-1.12,-54.90%,222,279,42.14%,p,4/13/18,AMAT
AMAT180413C00054000,2018-03-28 2:39PM EDT,54,2.37,2.67,2.72,0,-,7,46,43.65%,c,4/13/18,AMAT
AMAT180413P00055000,2018-03-29 3:32PM EDT,55,1.29,1.37,1.42,-1.24,-49.01%,30,337,41.02%,p,4/13/18,AMAT
AMAT180413C00055000,2018-03-29 10:36AM EDT,55,1.76,2.04,2.09,-0.09,-4.86%,12,63,42.48%,c,4/13/18,AMAT
AMAT180413C00056000,2018-03-29 3:53PM EDT,56,1.6,1.5,1.56,0.4,33.33%,81,1612,41.60%,c,4/13/18,AMAT
AMAT180413P00056000,2018-03-29 3:16PM EDT,56,1.46,1.83,1.9,-1.48,-50.34%,119,355,40.43%,p,4/13/18,AMAT
AMAT180413C00057000,2018-03-29 3:56PM EDT,57,1.11,1.08,1.13,0.04,3.74%,46,144,40.97%,c,4/13/18,AMAT
AMAT180413P00057000,2018-03-29 3:42PM EDT,57,2.27,2.41,2.47,-1.2,-34.58%,53,130,39.75%,p,4/13/18,AMAT
AMAT180413C00058000,2018-03-29 3:56PM EDT,58,0.76,0.76,0.81,-0.04,-5.00%,51,162,40.97%,c,4/13/18,AMAT
AMAT180413P00058000,2018-03-29 2:04PM EDT,58,2.89,3.05,3.2,-1.51,-34.32%,64,141,40.97%,p,4/13/18,AMAT
AMAT180413C00059000,2018-03-29 3:59PM EDT,59,0.55,0.53,0.57,0.05,10.00%,59,117,41.11%,c,4/13/18,AMAT
AMAT180413P00059000,2018-03-29 2:55PM EDT,59,3.2,3.85,3.95,-2.1,-39.62%,13,85,40.82%,p,4/13/18,AMAT
AMAT180413P00060000,2018-03-29 3:50PM EDT,60,4.35,4.65,4.8,-1.55,-26.27%,115,139,41.90%,p,4/13/18,AMAT
AMAT180413C00060000,2018-03-29 3:26PM EDT,60,0.43,0.36,0.4,0.07,19.44%,59,282,41.55%,c,4/13/18,AMAT
AMAT180413P00061000,2018-03-29 11:21AM EDT,61,6,5.55,5.65,-0.8,-11.76%,10,14,41.21%,p,4/13/18,AMAT
AMAT180413C00061000,2018-03-29 3:33PM EDT,61,0.29,0.24,0.29,0.04,16.00%,66,311,42.58%,c,4/13/18,AMAT
AMAT180413P00062000,2018-03-22 10:52AM EDT,62,3.14,6.15,8,0,-,7,122,63.14%,p,4/13/18,AMAT
AMAT180413C00062000,2018-03-29 10:14AM EDT,62,0.16,0.17,0.19,-0.08,-33.33%,2,356,42.48%,c,4/13/18,AMAT
AMAT180413P00063000,2018-03-27 9:30AM EDT,63,4.75,8.15,8.35,0,-,1,71,74.71%,p,4/13/18,AMAT
AMAT180413C00063000,2018-03-29 2:22PM EDT,63,0.13,0.12,0.14,-0.04,-23.53%,2,452,43.75%,c,4/13/18,AMAT
AMAT180413C00064000,2018-03-29 2:52PM EDT,64,0.1,0.07,0.12,-0.02,-16.67%,25,58,46.39%,c,4/13/18,AMAT
AMAT180413P00064000,2018-03-27 2:57PM EDT,64,7.7,9,9.2,0,-,1,2,74.90%,p,4/13/18,AMAT
AMAT180413C00065000,2018-03-28 2:03PM EDT,65,0.09,0.05,0.1,0,-,6,56,48.63%,c,4/13/18,AMAT
AMAT180413P00065000,2018-03-21 1:01PM EDT,65,4.5,7.6,10.9,0,-,9,11,106.49%,p,4/13/18,AMAT
AMAT180413C00066000,2018-03-23 1:15PM EDT,66,0.15,0.09,0.14,-0.55,-78.57%,2052,75,53.71%,c,4/13/18,AMAT
AMAT180413C00070000,2018-03-26 11:01AM EDT,70,0.04,0,0.29,0,-,1,881,70.90%,c,4/13/18,AMAT
